nombre,descripcion,preferencia_alimenticia,ingredientes
Tacos de Carne,"Tacos con carne de res sazonada y acompañados de cebolla, cilantro y salsa",ninguno,"carne de res, tortilla de maíz, cebolla, cilantro, salsa, limón"
Pollo con Piña,"Pollo cocinado con salsa agridulce de piña, acompañado de arroz",ninguno,"pollo, piña, salsa de soja, arroz, azúcar, vinagre"
Pasta a la Bolognesa,"Pasta con salsa de carne picada y tomate, el clásico italiano",ninguno,"pasta, carne picada, tomate, cebolla, zanahoria, ajo, vino tinto, leche"
Ensalada Mediterránea,"Ensalada fresca con tomate, pepino, aceitunas, queso feta y orégano",vegetariano,"tomate, pepino, aceitunas, queso feta, cebolla, orégano, aceite de oliva"
Tarta de Limón y Merengue,"Tarta de limón con una base crujiente y un suave merengue en la parte superior",vegetariano,"limón, azúcar, huevo, merengue, galletas, mantequilla"
Albóndigas de Carne,"Albóndigas jugosas de carne con salsa de tomate, perfectas para acompañar pasta",ninguno,"carne picada, cebolla, ajo, pan rallado, tomate, huevo, especias"
Curry de Pollo con Almendras,"Curry suave con pollo, leche de coco y almendras tostadas",ninguno,"pollo, leche de coco, almendras, cebolla, ajo, jengibre, curry"
Sopa de Tomate y Albahaca,"Sopa cremosa de tomate con un toque fresco de albahaca, ideal para el invierno",vegano,"tomate, cebolla, ajo, albahaca, aceite de oliva, sal, pimienta"
Burritos Veganos,"Burritos rellenos de frijoles, arroz, guacamole y verduras frescas",vegano,"tortilla de trigo, frijoles, arroz, aguacate, tomate, cebolla, cilantro"
Tarta de Naranja,"Tarta refrescante con un delicado sabor a naranja, cubierta con crema de mascarpone",vegetariano,"naranja, mascarpone, azúcar, harina, mantequilla, huevo"
Ensalada de Pollo y Mango,"Ensalada fresca con pollo a la parrilla, mango y un aderezo de lima",ninguno,"pollo, mango, lechuga, cebolla, cilantro, lima, aceite de oliva"
Spaghetti Aglio e Olio,"Pasta con ajo, aceite de oliva y guindilla, un plato simple y sabroso",vegetariano,"espaguetis, ajo, aceite de oliva, guindilla, perejil, sal"
Croquetas de Pollo,"Croquetas rellenas de pollo y bechamel, crujientes por fuera y cremosas por dentro",ninguno,"pollo, harina, leche, cebolla, pan rallado, huevo, mantequilla"
Baked Ziti,"Plato de pasta al horno con salsa de tomate y queso, típico de la cocina italiana",vegetariano,"pasta ziti, tomate, queso ricotta, queso mozzarella, albahaca"
Pechuga de Pavo al Vino,"Pechuga de pavo cocinada con vino blanco y hierbas, acompañada de puré de papas",ninguno,"pavo, vino blanco, cebolla, ajo, romero, puré de papas"
Frittata de Espinacas,"Frittata de huevo con espinacas, cebolla y queso, ideal para un desayuno o almuerzo",vegetariano,"huevo, espinacas, cebolla, queso parmesano, aceite de oliva"
Galletas de Jengibre,"Galletas de jengibre especiadas, perfectas para la temporada navideña",vegetariano,"harina, azúcar, jengibre, mantequilla, huevo, canela"
Tarta de Chirimoya,"Tarta suave con chirimoya y una base crujiente, un sabor tropical único",vegetariano,"chirimoya, azúcar, huevo, mantequilla, harina, crema pastelera"
Ceviche de Atún,"Ceviche fresco con atún, cebolla morada y un toque de lima, servido con aguacate",ninguno,"atún, cebolla morada, cilantro, lima, aguacate, tomate"
Panecillos de Canela,"Panecillos suaves de canela, glaseados y perfectos para el desayuno",vegetariano,"harina, azúcar, canela, mantequilla, levadura, leche, huevo"
Lentejas con Chorizo,"Lentejas cocidas con trozos de chorizo y verduras, una receta clásica de invierno",ninguno,"lentejas, chorizo, cebolla, zanahoria, tomate, pimiento, ajo"
Pizza Calzone,"Pizza cerrada rellena de queso, jamón y champiñones, ideal para una cena casual",ninguno,"harina, levadura, tomate, queso mozzarella, jamón, champiñones, huevo"
Pavlova,"Postre de merengue crujiente con crema batida y frutas frescas, refrescante y ligero",vegetariano,"merengue, crema batida, fresas, kiwi, frambuesas"
Sopa de Calabacín,"Sopa suave y cremosa de calabacín, ideal para un almuerzo ligero",vegano,"calabacín, cebolla, ajo, caldo de verduras, aceite de oliva, sal, pimienta"
Pollo con Salsa de Naranja,"Pollo glaseado con una salsa dulce de naranja y jengibre",ninguno,"pollo, naranja, jengibre, azúcar, salsa de soja, ajo, cebolla"
Moussaka,"Plato tradicional griego con capas de berenjena, carne picada y bechamel",ninguno,"berenjena, carne picada, cebolla, tomate, bechamel, ajo, queso parmesano"
Ensalada de Lentejas,"Ensalada fresca y nutritiva con lentejas, pepino, cebolla y aderezo de mostaza",vegano,"lentejas, pepino, cebolla, mostaza, vinagre, aceite de oliva, cilantro"
Raviolis de Espinacas,"Raviolis rellenos de espinacas y queso ricotta, bañados en salsa de tomate",vegetariano,"pasta para ravioli, espinacas, ricotta, tomate, cebolla, ajo, queso parmesano"
Tacos de Pescado,"Tacos frescos con pescado blanco, col rallada y salsa de aguacate",ninguno,"pescado blanco, tortilla de maíz, col, aguacate, cebolla, cilantro, limón"
Salmón al Horno,"Salmón horneado con hierbas y limón, acompañado de papas asadas",ninguno,"salmón, limón, romero, ajo, papas, aceite de oliva"
Ceviche de Camarón,"Ceviche de camarón con tomate, cebolla, cilantro y un toque de jugo de limón",ninguno,"camarón, tomate, cebolla, cilantro, limón, chile, ajo"
Paella de Verduras,"Paella vegetariana con arroz, alcachofas, pimientos y guisantes",vegetariano,"arroz, alcachofas, pimientos, guisantes, tomate, azafrán, caldo de verduras"
Pasta Alfredo,"Pasta con salsa cremosa de queso parmesano y mantequilla",vegetariano,"pasta, queso parmesano, mantequilla, nata, ajo, perejil"
Biryani de Pollo,"Arroz especiado con pollo, cebolla caramelizada y yogur, típico de la India",ninguno,"pollo, arroz, cebolla, yogur, especias, ajo, jengibre, cilantro"
Ensalada de Pasta Fría,"Ensalada refrescante con pasta, tomate, pepino, aceitunas y aderezo de albahaca",vegano,"pasta, tomate, pepino, aceitunas, albahaca, vinagre balsámico, aceite de oliva"
Sopa de Miso,"Sopa japonesa con pasta de miso, tofu, algas y cebolla de verdeo",vegano,"pasta de miso, tofu, algas, cebolla de verdeo, caldo de verduras"
Falafel al Horno,"Falafel horneado hecho con garbanzos, cilantro y especias",vegano,"garbanzo, cebolla, ajo, cilantro, comino, cilantro, tahini"
Tarta de Frambuesa,"Tarta de masa quebrada con un relleno de frambuesas frescas y crema pastelera",vegetariano,"frambuesas, crema pastelera, masa quebrada, azúcar, huevo"
Gnocchis de Espinaca,"Ñoquis caseros hechos con espinacas y patatas, servidos con salsa de tomate",vegetariano,"espinacas, patatas, harina, huevo, tomate, queso parmesano"
Lasaña de Pavo,"Lasaña con capas de carne de pavo, tomate y queso bechamel",ninguno,"pavo, pasta para lasaña, tomate, queso bechamel, cebolla, ajo"
Sushi Vegano,"Sushi con aguacate, pepino, zanahoria y arroz con vinagre de arroz",vegano,"arroz para sushi, alga nori, aguacate, pepino, zanahoria, vinagre de arroz"
Mermelada de Fresas,"Mermelada casera de fresas, ideal para untar en tostadas",vegetariano,"fresas, azúcar, pectina"
Burritos de Pollo,"Burritos rellenos de pollo, guacamole y frijoles, envueltos en una tortilla",ninguno,"pollo, tortilla de harina, frijoles, guacamole, tomate, cebolla, cilantro"
Galletas de Avena,"Galletas caseras de avena, pasas y nueces, con un toque de canela",vegetariano,"avena, pasas, nueces, azúcar, mantequilla, huevo, canela"
Canelones de Carne,"Canelones rellenos de carne picada, cubiertos con salsa de tomate y queso",ninguno,"pasta de canelones, carne picada, tomate, queso mozzarella, cebolla, ajo"
Empanadas de Carne,"Empanadas argentinas rellenas de carne picada, cebolla y especias",ninguno,"carne picada, cebolla, huevo, aceitunas, pasas, comino, harina"
Pisto Manchego,"Plato español de verduras guisadas, similar a un ratatouille, con tomate y calabacín",vegano,"tomate, calabacín, pimiento, cebolla, berenjena, aceite de oliva, ajo"
Pastel de Pescado,"Pastel de pescado con puré de papas, ideal para una comida reconfortante",ninguno,"pescado, puré de papas, cebolla, huevo, pan rallado"
Sopa de Ajo,"Sopa española de ajo, pan y huevo, ideal para los días fríos",vegano,"ajo, pan, pimentón, caldo de verduras, aceite de oliva, huevo"
Pechuga de Pollo Rellena,"Pechuga de pollo rellena de espinacas, queso crema y jamón serrano",ninguno,"pollo, espinacas, queso crema, jamón serrano, cebolla, ajo"
Tarta de Fresas,"Tarta dulce con fresas frescas y una base de galletas y mantequilla",vegetariano,"fresas, galletas, mantequilla, azúcar, crema pastelera"
Ensalada de Garbanzos,"Ensalada de garbanzos con tomate, pepino, cebolla morada y cilantro",vegano,"garbanzo, tomate, pepino, cebolla morada, cilantro, aceite de oliva, limón"









     
